Dates,Events
6/1/2024,Parent Teacher Meeting
6/4/2024,"Grade 9, 10, 11, and 12 Debate Competition"
6/6/2024 - 6/13/2024,PT-1 or Periodic Test 1 for CBSE Class 11 and 12
6/14/2024 - 6/22/2024,Hajj Break
6/23/2024,School Reopens after Hajj Break
7/7/2024 - 8/31/2024,Summer Vacation
9/1/2024,School Reopens after Summer Vacation
9/5/2024,Teachers Day
9/5/2024,Essay Competition For CBSE Class 11 and 12
9/12/2024,Boys Qirath Competition
9/22/2024,Saudi National Day Special Assembly
9/23/2024,Saudi National Day Holiday
9/26/2024,Food and Fun Fair
10/1/2024,First Term Exam for CBSE Class 11 and 12
10/5/2024,World Teacher Day
10/11/2024,Second Term Begins for CBSE Class 11 and 12
